channel,source,cutoff_min,plateau_pass,start_min,end_min,samples,baseline_mdeg,tail_amplitude_mdeg,Rinf_mdeg,kobs_per_s,tau_s,tau_min,t95_experiment_min,t99_experiment_min,remaining_tail_mdeg_at_cutoff,rmse_mdeg,residual_lag1,parameter_boundary,rate_stable_20pct,joint_exploratory_gate
L3 670nm,Vendor,55.0,False,40.86815,54.935050000000004,105,115.63557884291367,27.150888633041507,142.7864674759552,0.00291715269213116,342.800019586715,5.713333659778583,57.98376803418104,67.17902383261456,2.314727717630876,1.3647893926220604,0.5941633111793521,False,True,False
L3 670nm,Vendor,56.0,False,40.86815,55.8809,112,115.74914482789139,27.437571097617752,143.18671592550913,0.0028210953429547315,354.4722451502223,5.9078707525037055,58.56654908126105,68.07490025210109,2.1614284779416053,1.3298345705311447,0.595983462984724,False,True,False
L3 670nm,Vendor,57.0,False,40.86815,56.96208333333333,120,115.81990575411318,27.59365065323508,143.41355640734827,0.0027666217890155343,361.4516461810404,6.02419410301734,58.91502269656269,68.61058907782072,1.9079628450727668,1.3029921974856737,0.5808499891156899,False,True,False
L3 670nm,Vendor,58.0,False,40.86815,57.90773333333333,127,115.84574624110562,27.646556452028946,143.49230269313455,0.0027476703925051263,363.94467208574923,6.065744534762487,59.03949666592172,68.80193588730842,1.6658769176623711,1.2729071632930808,0.5706328388757536,False,True,False
L3 670nm,Centroid + vendor TIR,45.0,False,40.86815,44.93001666666667,31,104.57419332018857,16.074745055814066,120.64893837600263,0.01279421877385096,78.16030174845977,1.302671695807663,44.77060564097632,46.867174855664,0.7111618517560195,0.9536961686930837,0.2865629329736982,False,False,False
L3 670nm,Centroid + vendor TIR,46.0,False,40.86815,45.87511666666666,38,104.61111585122656,16.16495345431984,120.7760693055464,0.012552132934722971,79.66773497384652,1.327795582897442,44.8458700803683,46.98287463144598,0.37230527101679306,0.9256916792412816,0.2568025226923542,False,False,False
L3 670nm,Centroid + vendor TIR,47.0,False,40.86815,46.95765,46,105.28969167729024,16.967536746686644,122.25722842397688,0.00971928984660434,102.88817555424312,1.714802925904052,46.005240467915584,48.76510930921849,0.4868325689433756,1.1293316186830855,0.3941863310870957,False,False,False
L3 670nm,Centroid + vendor TIR,48.0,False,40.86815,47.90298333333333,53,106.23202148392515,18.135497168632703,124.36751865255786,0.0069597093825323995,143.68416050673287,2.394736008445548,48.04213794714219,51.89631686940556,0.9610272197167264,1.2861486118059389,0.5665681856628171,False,False,False
L3 670nm,Centroid + vendor TIR,49.0,False,40.86815,48.98441666666667,61,107.07160111376612,19.648803787458437,126.72040490122455,0.00509480473828314,196.27837598678659,3.271306266446443,50.668107759073024,55.933072087475175,1.6437312799832966,1.3580871922812152,0.6055357692706397,False,False,False
L3 670nm,Centroid + vendor TIR,50.0,False,40.86815,49.9294,68,107.5865222513438,20.95815253409071,128.5446747854345,0.004150796580251807,240.91761199710137,4.015293533285023,52.896894425454576,59.35926006747496,2.194256757975814,1.3472043579811122,0.6301698152505637,False,False,False
L3 670nm,Centroid + vendor TIR,51.0,False,40.86815,50.87656666666667,75,107.66777527433325,21.1785991088856,128.84637438321886,0.004019718621718296,248.77363171567796,4.146227195261299,53.28913662233152,59.96223186395036,1.8948317813974287,1.2874060051925367,0.6240170623160092,False,False,False
L3 670nm,Centroid + vendor TIR,52.0,False,40.86815,51.95926666666666,83,107.72063266890433,21.30300474719008,129.0236374160944,0.003942362122838976,253.65503442892242,4.227583907148707,53.53285954980286,60.33689336796427,1.5454826183539774,1.2301784766930728,0.6130525559148152,False,True,False
L3 670nm,Centroid + vendor TIR,53.0,False,40.86815,52.90725,90,107.83762533998244,21.549481475760825,129.38710681574327,0.003785251625403332,264.1832297987446,4.4030538299790765,54.05852046066383,61.144962225120324,1.3994655086750922,1.1966545690313677,0.5955956414668555,False,True,False
L3 670nm,Centroid + vendor TIR,54.0,False,40.86815,53.98918333333334,98,108.08167827245127,22.030557401625977,130.11223567407725,0.00349034552446727,286.504586147708,4.775076435795133,55.17300058739864,62.858189637938025,1.4114450872739952,1.1798620537700863,0.6050671966483858,False,True,False
L3 670nm,Centroid + vendor TIR,55.0,False,40.86815,54.93505,105,108.19377729316408,22.242134901865608,130.4359121950297,0.003366911143092176,297.0081352018095,4.950135586696826,55.6974309355358,63.66436682045489,1.2972781217954208,1.1507687643330085,0.6027514323990211,False,True,False
L3 670nm,Centroid + vendor TIR,56.0,False,40.86815,55.8809,112,108.2086654146954,22.267280516161293,130.4759459308567,0.0033516030507693556,298.3646884348227,4.972744807247045,55.76516210721799,63.768486128861184,1.0877503208217536,1.1160312407004007,0.5976063764421139,False,True,False
L3 670nm,Centroid + vendor TIR,57.0,False,40.86815,56.96208333333333,120,108.24552398275215,22.318298189959563,130.5638221727117,0.0033166014871283903,301.5134630678312,5.025224384463853,55.92237687038885,64.0101635132333,0.9073537299176194,1.0838207559450896,0.5957837097245797,False,True,False
L3 670nm,Centroid + vendor TIR,58.0,False,40.86815,57.90773333333333,127,108.29274913041638,22.380434635394028,130.67318376581042,0.003273150450661768,305.51605099540086,5.091934183256681,56.12222156759482,64.31737348974728,0.788045012263074,1.06378349156623,0.584019570736107,False,True,False
L5 785nm,Vendor,45.0,False,40.86815,44.93001666666667,31,61.73201684162614,10.519588979580398,72.25160582120654,0.015449263240606314,64.72800575833509,1.0788000959722515,44.099946264217216,45.836208038612504,0.2436721251462345,0.8453085457500398,0.25582259338222824,False,False,False
L5 785nm,Vendor,46.0,False,40.86815,45.87511666666667,38,61.82199667985146,10.597608843100774,72.41960552295224,0.014699018708525132,68.0317523114669,1.1338625385244483,44.26489860043154,46.08977995742156,0.1280644779965,0.8459317105611133,0.19877736180962724,False,False,False
L5 785nm,Vendor,47.0,False,40.86815,46.957649999999994,46,62.345669911663705,11.00276421667455,73.34843412833825,0.011209537115000326,89.20974967483936,1.4868291612473226,45.32229210360981,47.71525132503385,0.18314409308730342,0.9695503075504873,0.3154675521749703,False,False,False
L5 785nm,Vendor,48.0,False,40.86815,47.90298333333333,53,62.943986016526445,11.420831819884231,74.36481783641068,0.008420137619079126,118.76290450812913,1.979381741802152,46.79784776560022,49.98353978403645,0.3267314016856812,1.0226619113190303,0.42587280893945983,False,False,False
L5 785nm,Vendor,49.0,False,40.86815,48.98441666666667,61,63.801983165544115,12.464459717187529,76.26644288273164,0.005421660159950078,184.44534893334367,3.074089148889061,50.07729807510908,55.02485369753341,0.8892854481231366,1.099299574491271,0.5386901176731593,False,False,False
L5 785nm,Vendor,50.0,False,40.86815,49.9294,68,64.14534368309975,13.168135712862183,77.31347939596193,0.004453659806688305,224.534437609771,3.7422406268295165,52.0789010211981,58.10180496346867,1.1693598411351538,1.0725665234314483,0.5404086336729018,False,False,False
L5 785nm,Vendor,51.0,False,40.86815,50.87656666666667,75,64.37363672327685,13.745793805655095,78.11943052893194,0.00388572301136553,257.35236327320655,4.289206054553443,53.71746300554893,60.620673843989124,1.3328730166495648,1.0460066878634688,0.5447789065649469,False,False,False
L5 785nm,Vendor,52.0,False,40.86815,51.959266666666664,83,64.58654422590351,14.32776800308709,78.9143122289906,0.0034240639714540077,292.0506183111282,4.86751030518547,55.44990771310074,63.28386333742992,1.4675552100902596,1.0150409839235277,0.5381748491553143,False,False,False
L5 785nm,Vendor,53.0,False,40.86815,52.90725,90,64.82255406569406,15.072093611157678,79.89464767685175,0.0029663698624781227,337.1123785503249,5.618539642505414,57.69979053729597,66.74248125045813,1.7684430453154345,1.0061481549465252,0.5581647454767514,False,False,False
L5 785nm,Vendor,54.0,False,40.86815,53.98918333333334,98,64.93963833139524,15.479558570406658,80.4191969018019,0.0027603252353337457,362.27615036062656,6.037935839343776,58.95618925957045,68.67387211225494,1.7619500633336629,0.980120361918582,0.5603457876380271,False,False,False
L5 785nm,Vendor,55.0,False,40.86815,54.935050000000004,105,65.01655544921074,15.72552285446025,80.742078303671,0.0026405130380774845,378.7142822548167,6.3119047042469445,59.77692663010983,69.93554536079601,1.6932590106320358,0.9536145044765971,0.5576049557750855,False,True,False
L5 785nm,Vendor,56.0,False,40.86815,55.8809,112,65.03345334367678,15.788906955673067,80.82236029934985,0.0026129600850197028,382.7077213054556,6.378462021757594,59.976314534217664,70.24205313505539,1.5002692785883611,0.9334058806752092,0.5625819458192589,False,True,False
L5 785nm,Vendor,57.0,False,40.86815,56.96208333333333,120,65.11597234132931,16.012918329529573,81.12889067085888,0.002502581439438049,399.58739573508086,6.6597899289180145,60.81909762514953,71.53761602559699,1.4287687525908443,0.9116458246221296,0.5636829180950835,False,True,False
L5 785nm,Vendor,58.0,False,40.86815,57.90773333333333,127,65.13994806113666,16.083129232342355,81.22307729347902,0.002470552613177723,404.76774089573433,6.746129014928906,61.077746411581515,71.9352222103798,1.2865183561471891,0.9095269074380024,0.5449781453840677,False,True,False
L5 785nm,Centroid + vendor TIR,45.0,False,40.86815,44.93001666666667,31,57.82991176590241,8.496493780716223,66.32640554661863,0.014799054056231655,67.5718864327626,1.1261981072127099,44.241938016192535,46.05448394685219,0.23060396427977145,0.7462266848357563,0.28401745086278113,False,False,False
